Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAccEndTime.
160	0.010000	1.477600	1.315296	78.924000	83.720000	10/17 12:38:11
161	0.010000	1.467707	1.323585	79.058000	83.550000	10/17 12:40:52
162	0.010000	1.484708	1.319931	78.756000	83.680000	10/17 12:43:35
163	0.010000	1.460652	1.309380	79.364000	83.920000	10/17 12:46:17


--- Resuming Training ---

Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAccEndTime.
164	0.010000	1.463107	1.322902	79.312000	83.570000	10/17 12:51:26
165	0.010000	1.458393	1.324859	79.430000	83.700000	10/17 12:54:06
166	0.010000	1.465190	1.301202	79.152000	83.780000	10/17 12:56:46
167	0.010000	1.425735	1.309627	80.234000	83.750000	10/17 12:59:26
168	0.010000	1.446802	1.301099	79.944000	83.910000	10/17 13:02:06
169	0.010000	1.457869	1.304389	79.458000	83.790000	10/17 13:04:47
170	0.010000	1.429019	1.318215	80.514000	83.980000	10/17 13:07:27
171	0.010000	1.443726	1.304236	80.076000	84.030000	10/17 13:10:07
172	0.010000	1.444191	1.316297	79.832000	83.420000	10/17 13:12:47
173	0.010000	1.437139	1.303791	80.196000	83.610000	10/17 13:15:27
174	0.010000	1.458832	1.319419	79.408000	83.630000	10/17 13:18:07
175	0.010000	1.452692	1.309344	79.972000	83.880000	10/17 13:20:47
176	0.010000	1.446842	1.333690	79.704000	83.790000	10/17 13:23:27
177	0.001000	1.436393	1.310960	80.110000	83.620000	10/17 13:26:07
178	0.001000	1.391748	1.289345	81.752000	84.560000	10/17 13:28:47
179	0.001000	1.379351	1.277131	82.094000	84.600000	10/17 13:31:27
180	0.001000	1.367186	1.277450	82.578000	84.830000	10/17 13:34:09
181	0.001000	1.368610	1.272229	82.528000	84.870000	10/17 13:36:49
182	0.001000	1.348199	1.271143	83.286000	84.990000	10/17 13:39:27
183	0.001000	1.337267	1.273976	83.288000	84.690000	10/17 13:42:07
184	0.001000	1.343846	1.262972	83.358000	84.950000	10/17 13:44:47
185	0.001000	1.336797	1.267677	83.510000	84.900000	10/17 13:47:26
186	0.001000	1.325401	1.264224	84.006000	84.850000	10/17 13:50:06
187	0.001000	1.337033	1.264670	83.650000	84.980000	10/17 13:52:46
188	0.001000	1.331895	1.266475	83.816000	85.000000	10/17 13:55:26
189	0.001000	1.307190	1.270733	84.688000	84.910000	10/17 13:58:05
190	0.001000	1.309143	1.269920	84.564000	84.900000	10/17 14:00:46
191	0.001000	1.294957	1.264961	85.128000	84.980000	10/17 14:03:25
192	0.001000	1.290936	1.263453	85.240000	84.930000	10/17 14:06:04
193	0.001000	1.343762	1.266643	83.210000	85.100000	10/17 14:08:45
194	0.001000	1.336927	1.265834	83.574000	84.840000	10/17 14:11:23
195	0.000100	1.369006	1.263156	82.648000	85.080000	10/17 14:14:03
196	0.000100	1.336952	1.260382	83.598000	85.250000	10/17 14:16:42
197	0.000100	1.334120	1.266463	83.618000	85.160000	10/17 14:19:23
198	0.000100	1.331906	1.260273	83.894000	85.310000	10/17 14:22:02
199	0.000100	1.325096	1.261838	84.002000	85.220000	10/17 14:24:43
200	0.000100	1.335271	1.265563	83.788000	85.170000	10/17 14:27:23
